date,open,close,high,low,volume,amount,pct_chg,turnover
2025-12-29,7.5,7.59,7.77,7.5,477939,369381413.0,1.74,3.14
2025-12-30,7.5,7.55,7.61,7.44,281550,214809468.0,-0.53,1.85
2025-12-31,7.6,7.62,7.74,7.55,310236,239589563.0,0.93,2.04
2026-01-05,7.8,8.1,8.19,7.76,728655,589855586.0,6.3,4.78
2026-01-06,8.1,8.12,8.27,7.98,510154,419294285.0,0.25,3.35
2026-01-07,8.17,8.18,8.29,8.11,465712,386431125.0,0.74,3.06
2026-01-08,8.5,8.98,9.01,8.46,1564827,1409940102.0,9.78,10.27
2026-01-09,9.06,9.16,9.24,8.98,1036149,953423627.0,2.0,6.8
2026-01-12,9.22,8.83,9.23,8.77,905483,812528723.0,-3.6,5.94
2026-01-13,8.82,8.72,8.99,8.69,615154,548926696.0,-1.25,4.04
2026-01-14,8.79,8.72,8.95,8.64,600198,532921318.0,0.0,3.94
2026-01-15,8.75,8.79,8.88,8.7,410914,365732038.0,0.8,2.7
2026-01-16,8.85,8.92,8.98,8.8,411446,369815309.0,1.48,2.7
2026-01-19,8.95,9.09,9.17,8.82,425189,387594791.0,1.91,2.79
2026-01-20,9.08,9.28,9.34,8.9,521724,482634707.0,2.09,3.43
2026-01-21,9.2,9.59,9.65,9.2,512866,494144954.0,3.34,3.37
2026-01-22,9.52,9.58,9.66,9.38,366583,352947124.0,-0.1,2.41
2026-01-23,9.7,9.95,10.03,9.69,507493,506814768.0,3.86,3.33
2026-01-26,10.0,10.0,10.18,9.82,568007,572159149.0,0.5,3.73
2026-01-27,9.96,10.22,10.28,9.85,588774,600191853.0,2.2,3.87
2026-01-28,10.31,10.85,10.95,10.09,817915,876358135.0,6.16,5.37
2026-01-29,11.1,10.26,11.2,10.21,970306,1027408390.0,-5.44,6.37
2026-01-30,10.06,10.05,10.18,9.69,833569,838633992.0,-2.05,5.47
2026-02-02,9.75,9.6,9.96,9.56,605772,595617865.0,-4.48,3.98
2026-02-03,9.71,9.96,9.98,9.63,480663,477048951.0,3.75,3.16
2026-02-04,10.08,10.05,10.2,9.91,385642,391301698.0,0.9,2.53
2026-02-05,9.99,9.85,10.13,9.8,336734,337717664.0,-1.99,2.21
2026-02-06,9.7,10.03,10.38,9.66,470426,479146895.0,1.83,3.09
2026-02-09,10.14,10.15,10.34,10.1,385282,397150981.0,1.2,2.53
2026-02-10,10.18,10.14,10.22,10.02,234957,239887553.0,-0.1,1.54
2026-02-11,10.22,10.33,10.47,10.11,297105,309482696.0,1.87,1.95
2026-02-12,10.3,10.35,10.42,10.21,259156,270582075.0,0.19,1.7
2026-02-13,10.29,10.45,10.56,10.17,341042,357801222.0,0.97,2.24
2026-02-24,10.63,11.4,11.48,10.58,705016,796932168.0,9.09,4.63
2026-02-25,11.4,11.59,11.75,11.28,598834,698772304.0,1.67,3.93
2026-02-26,11.56,11.98,12.05,11.46,606525,721432900.0,3.36,3.98
2026-02-27,11.93,12.95,13.03,11.92,1019681,1302189264.0,8.1,6.69
2026-03-02,12.95,13.09,13.59,12.9,1051198,1390521881.0,1.08,6.9
2026-03-03,12.59,12.34,12.96,12.25,1254788,1586066805.0,-5.73,8.24
2026-03-04,12.18,12.74,12.89,12.06,859199,1090059218.0,3.24,5.64
2026-03-05,13.0,13.0,13.13,12.63,694756,905002302.0,2.04,4.56
2026-03-06,12.84,13.3,13.6,12.8,608238,812389277.0,2.31,3.99
2026-03-09,12.9,13.92,14.0,12.55,1125725,1513072681.0,4.66,7.39
2026-03-10,14.07,14.41,14.44,13.82,778228,1112106558.0,3.52,5.11
2026-03-11,14.42,15.03,15.27,14.32,1114022,1668657688.0,4.3,7.31
2026-03-12,15.01,15.84,16.34,14.92,1128721,1785901585.0,5.39,7.41
2026-03-13,15.9,15.13,16.08,14.6,1265828,1925951829.0,-4.48,8.31
2026-03-16,15.35,15.87,16.16,14.48,1260756,1940423346.0,4.89,8.28
2026-03-17,15.82,14.7,15.85,14.7,961332,1459222541.0,-7.37,6.31
2026-03-18,14.8,14.59,15.03,14.4,782503,1159773809.0,-0.75,5.14
2026-03-19,14.08,14.02,14.5,13.95,706196,1007433015.0,-3.91,4.64
2026-03-20,14.01,13.86,14.21,13.77,711364,1001856258.0,-1.14,4.67
2026-03-23,13.0,12.99,13.58,12.79,916889,1214222572.0,-6.28,6.02
2026-03-24,13.45,13.44,13.52,12.97,682006,910154793.0,3.46,4.48
2026-03-25,13.76,14.43,14.5,13.51,790481,1121368734.0,7.37,5.19
2026-03-26,14.39,13.94,14.53,13.81,571139,811286380.0,-3.4,3.75
2026-03-27,13.78,14.5,14.72,13.6,598527,857356245.0,4.02,3.93
2026-03-30,14.32,14.9,14.98,14.16,680421,996720336.0,2.76,4.47
2026-03-31,14.94,14.85,15.61,14.65,911696,1382016767.0,-0.34,5.99
2026-04-01,15.3,14.99,15.7,14.8,1043561,1605214415.0,0.94,6.85
2026-04-02,14.96,15.37,15.75,14.9,812818,1254805246.0,2.54,5.34
2026-04-03,15.4,15.41,15.65,15.0,952374,1464172258.0,0.26,6.25
2026-04-07,15.26,15.92,16.0,14.76,905947,1425165774.0,3.31,5.95
2026-04-08,16.1,17.2,17.27,16.1,1047601,1782665395.0,8.04,6.88
2026-04-09,17.2,18.35,18.56,17.0,1812508,3247340116.0,6.69,11.9
2026-04-10,18.11,16.51,18.17,16.51,1535349,2626665736.0,-10.03,10.08
2026-04-13,16.15,15.92,16.74,15.79,1246438,2019746681.0,-3.57,8.18
2026-04-14,15.9,15.58,16.34,15.5,975658,1553436341.0,-2.14,6.41
2026-04-15,15.33,15.1,15.56,14.86,1159505,1777834482.0,-3.08,7.61
2026-04-16,15.12,15.6,15.7,14.93,886103,1361979660.0,3.31,5.82
2026-04-17,15.63,15.59,16.34,15.46,978649,1567808575.0,-0.06,6.42
2026-04-20,15.47,15.32,15.78,15.0,712071,1094001104.0,-1.73,4.67
2026-04-21,15.25,15.79,16.1,15.25,773508,1222393461.0,3.07,5.08
2026-04-22,15.72,15.71,16.1,15.62,600227,957620246.0,-0.51,3.94
2026-04-23,15.75,15.19,15.83,15.1,526061,810786188.0,-3.31,3.45
2026-04-24,15.12,15.17,15.48,14.88,439592,672785332.0,-0.13,2.89
2026-04-27,15.26,14.92,15.37,14.83,446226,668790901.0,-1.65,2.93
2026-04-28,14.88,14.85,14.99,14.4,475163,699763647.0,-0.47,3.12
2026-04-29,14.76,14.77,14.98,14.63,416828,617308936.0,-0.54,2.74
2026-04-30,14.8,14.58,14.86,14.55,365350,535786390.0,-1.29,2.4
2026-05-06,14.87,14.79,14.93,14.44,627590,920198721.0,1.44,4.12
2026-05-07,14.9,15.34,15.44,14.75,740670,1116871385.0,3.72,4.86
2026-05-08,15.25,15.01,15.25,14.67,575828,860875585.0,-2.15,3.78
2026-05-11,14.9,14.53,14.98,14.43,614524,898163530.0,-3.2,4.03
2026-05-12,14.59,14.6,14.75,14.31,464543,673533986.0,0.48,3.05
2026-05-13,14.51,14.83,15.2,14.46,542066,803780685.0,1.58,3.56
2026-05-14,14.83,14.77,15.06,14.68,432014,642140181.0,-0.4,2.84
2026-05-15,14.7,13.29,14.7,13.29,1001149,1361849055.0,-10.02,6.57
2026-05-18,13.0,13.15,13.43,12.91,735186,969970948.0,-1.05,4.83
2026-05-19,13.15,13.03,13.2,12.7,559608,723807794.0,-0.91,3.67
2026-05-20,12.9,13.08,13.15,12.68,489781,632753524.0,0.38,3.22
2026-05-21,13.18,12.62,13.3,12.61,371385,481278640.0,-3.52,2.44
2026-05-22,12.7,12.99,13.1,12.6,373243,483167951.0,2.93,2.45
2026-05-25,13.15,12.97,13.25,12.76,295094,381219144.0,-0.15,1.94
2026-05-26,12.86,13.06,13.33,12.67,381246,495553450.0,0.69,2.5
2026-05-27,12.95,12.6,13.17,12.59,294658,377426671.0,-3.52,1.93
2026-05-28,12.59,12.38,12.61,12.2,398578,493013075.0,-1.75,2.62
2026-05-29,12.47,12.31,12.61,12.27,359980,446599107.0,-0.57,2.36
2026-06-01,12.32,12.37,12.5,12.22,321500,397672952.0,0.49,2.11
2026-06-02,12.4,12.79,13.02,12.05,490425,613655515.0,3.4,3.22
2026-06-03,12.79,12.95,13.4,12.71,567331,743274384.0,1.25,3.72
2026-06-04,12.84,13.77,14.1,12.84,733060,996825822.0,6.33,4.81
2026-06-05,13.71,13.56,14.37,13.45,710281,984366052.0,-1.53,4.66
2026-06-08,12.7,13.01,13.38,12.68,635804,826942583.0,-4.06,4.17
2026-06-09,13.17,14.2,14.31,12.62,874910,1182931569.0,9.15,5.74
2026-06-10,14.1,14.47,14.77,13.97,907219,1309275955.0,1.9,5.96
2026-06-11,14.31,13.68,14.46,13.56,672102,930445750.0,-5.46,4.41
2026-06-12,13.99,14.21,14.49,13.57,675439,950063944.0,3.87,4.43
2026-06-15,14.41,14.06,14.46,13.79,711626,994941054.0,-1.06,4.67
2026-06-16,14.07,14.7,14.9,13.89,683536,995031434.0,4.55,4.49
2026-06-17,14.99,15.51,15.81,14.98,846167,1310518260.0,5.51,5.56
2026-06-18,15.19,16.01,16.16,15.14,797401,1259442474.0,3.22,5.23
2026-06-22,16.62,17.61,17.61,16.39,1138698,1962532141.0,9.99,7.48
2026-06-23,18.95,18.24,19.37,17.93,2263944,4257022290.0,3.58,14.86
2026-06-24,18.17,18.49,18.93,17.87,1358011,2502969308.0,1.37,8.92
2026-06-25,18.46,19.6,19.9,18.33,1448444,2820277726.0,6.0,9.51
2026-06-26,19.6,19.03,19.61,18.39,1243165,2347632730.0,-2.91,8.16
2026-06-29,19.5,19.34,20.2,18.7,1237781,2395735639.0,1.63,8.13
2026-06-30,19.0,19.2,19.22,18.18,927263,1731655857.0,-0.72,6.09
2026-07-01,19.4,19.65,20.17,19.2,980583,1932654740.0,2.34,6.44
2026-07-02,19.03,18.85,20.15,18.5,870966,1673813698.0,-4.07,5.72
2026-07-03,18.93,19.8,20.7,18.28,1311977,2584762958.0,5.04,8.61
